,State,County,2010_Population,Food_Desert_Population,Food_Desert_Low_Income
147,Arkansas,Lee,10424,5283,3176
148,Arkansas,Lincoln,14134,4694,2372
149,Arkansas,Little River,13171,68,34
150,Arkansas,Logan,22353,3217,1710
151,Arkansas,Lonoke,68356,11161,3819
152,Arkansas,Madison,15717,3813,1894
153,Arkansas,Marion,16653,2255,1118
154,Arkansas,Miller,43462,15651,6213
155,Arkansas,Mississippi,46480,8460,4602
156,Arkansas,Monroe,8149,1745,1005
157,Arkansas,Montgomery,9487,2109,1062
158,Arkansas,Nevada,8997,4873,2627
159,Arkansas,Newton,8330,3653,1776
160,Arkansas,Ouachita,26120,8284,4511
161,Arkansas,Perry,10445,1491,655
162,Arkansas,Phillips,21757,8558,5355
163,Arkansas,Pike,11291,2603,1240
164,Arkansas,Poinsett,24583,8164,4649
165,Arkansas,Polk,20662,6792,3689
166,Arkansas,Pope,61754,13001,5544
167,Arkansas,Prairie,8715,3227,1713
168,Arkansas,Pulaski,382748,111419,41607
169,Arkansas,Randolph,17969,4566,1999
170,Arkansas,Saline,107118,30038,8343
171,Arkansas,Scott,11233,2925,1534
172,Arkansas,Searcy,8195,2757,1355
173,Arkansas,Sebastian,125744,11612,4287
174,Arkansas,Sevier,17058,4391,2089
175,Arkansas,Sharp,17264,5787,2587
176,Arkansas,St. Francis,28258,8556,4195
177,Arkansas,Stone,12394,3116,1682
178,Arkansas,Union,41639,11194,5760
179,Arkansas,Van Buren,17295,1775,1055
180,Arkansas,Washington,203065,27086,12755
181,Arkansas,White,77076,16006,6138
182,Arkansas,Woodruff,7260,382,191
183,Arkansas,Yell,22185,3387,1524
184,California,Alameda,1510271,115055,15896
185,California,Alpine,1175,575,147
186,California,Amador,38091,5,2
187,California,Butte,220000,42034,14377
188,California,Calaveras,45578,7456,1990
189,California,Colusa,21419,3262,1026
190,California,Contra Costa,1049025,251689,38047
191,California,Del Norte,28610,9844,4203
192,California,El Dorado,181058,46776,8857
193,California,Fresno,930450,125492,49496
194,California,Glenn,28122,6593,2718
195,California,Humboldt,134623,18049,7001
196,California,Imperial,174528,30032,15804
197,California,Inyo,18546,5366,1686
198,California,Kern,839631,186009,61416
199,California,Kings,152982,46915,10942
200,California,Lake,64665,2747,1302
201,California,Lassen,34895,9725,2638
202,California,Los Angeles,9818605,682407,173294
203,California,Madera,150865,20481,9854
204,California,Marin,252409,32794,4466
205,California,Mariposa,18251,3194,1118
206,California,Mendocino,87841,15681,6793
207,California,Merced,255793,57891,26319
208,California,Modoc,9686,3013,1286
209,California,Mono,14202,8121,2483
210,California,Monterey,415057,69970,23329
211,California,Napa,136484,11081,2224
212,California,Nevada,98764,34131,7975
213,California,Orange,3010232,228008,30386
214,California,Placer,348432,112690,19971
215,California,Plumas,20007,1260,261
216,California,Riverside,2189641,545708,167876
217,California,Sacramento,1418788,260308,76634
218,California,San Benito,55269,9874,1438
219,California,San Bernardino,2035210,484592,177611
220,California,San Diego,3095313,454869,92380
221,California,San Francisco,805235,4865,2861
222,California,San Joaquin,685306,102828,35840
223,California,San Luis Obispo,269637,50369,13106
224,California,San Mateo,718451,70819,7845
225,California,Santa Barbara,423895,46137,10436
226,California,Santa Clara,1781642,148010,19813
227,California,Santa Cruz,262382,54323,13369
228,California,Shasta,177223,37570,13648
229,California,Sierra,3240,2859,901
230,California,Siskiyou,44900,12807,5662
231,California,Solano,413344,83561,14861
232,California,Sonoma,483878,75991,18767
233,California,Stanislaus,514453,61496,26097
234,California,Sutter,94737,33560,11059
235,California,Tehama,63463,12879,6653
236,California,Trinity,13786,2390,1022
237,California,Tulare,442179,55054,25650
238,California,Tuolumne,55365,15385,4534
239,California,Ventura,823318,132339,27918
240,California,Yolo,200849,27310,7120
241,California,Yuba,72155,12770,7705
242,Colorado,Adams,441603,97490,28847
243,Colorado,Alamosa,15445,2209,1161
244,Colorado,Arapahoe,572003,82844,15513
245,Colorado,Archuleta,12084,5187,1698
246,Colorado,Baca,3788,955,318
247,Colorado,Bent,6499,819,330
248,Colorado,Boulder,294567,57165,11279
249,Colorado,Broomfield,55889,21155,3251
250,Colorado,Chaffee,17809,1837,415
251,Colorado,Cheyenne,1836,622,181
252,Colorado,Clear Creek,9088,1116,185
253,Colorado,Conejos,8256,464,224
254,Colorado,Costilla,3524,3522,1735
255,Colorado,Crowley,5823,459,283
256,Colorado,Custer,4255,1101,281
257,Colorado,Delta,30952,2724,1110
258,Colorado,Denver,600158,67256,30167
259,Colorado,Dolores,2064,2064,1004
260,Colorado,Douglas,285465,85745,7910
261,Colorado,Eagle,52197,9126,2811
262,Colorado,El Paso,622263,197679,56634
263,Colorado,Elbert,23086,5986,1722
264,Colorado,Fremont,46824,24206,5981
265,Colorado,Garfield,56389,9930,2094
266,Colorado,Gilpin,5441,0,0
267,Colorado,Grand,14843,422,45
268,Colorado,Gunnison,15324,1498,544
269,Colorado,Hinsdale,843,99,28
270,Colorado,Huerfano,6711,2591,937
271,Colorado,Jackson,1394,382,112
272,Colorado,Jefferson,534543,119145,20759
273,Colorado,Kiowa,1398,1398,595
274,Colorado,Kit Carson,8270,921,373
275,Colorado,La Plata,51334,8142,2680
276,Colorado,Lake,7310,3306,1343
277,Colorado,Larimer,299630,64686,14702
278,Colorado,Las Animas,15507,4930,1693
279,Colorado,Lincoln,5467,1247,521
280,Colorado,Logan,22709,3982,1244
281,Colorado,Mesa,146723,50275,15246
282,Colorado,Mineral,712,91,28
283,Colorado,Moffat,13795,5820,1837
284,Colorado,Montezuma,25535,3680,1735
285,Colorado,Montrose,41276,11854,5304
286,Colorado,Morgan,28159,4238,1527
287,Colorado,Otero,18831,6261,3297
288,Colorado,Ouray,4436,273,77
289,Colorado,Park,16206,8729,2198
290,Colorado,Phillips,4442,209,75
291,Colorado,Pitkin,17148,1569,295
292,Colorado,Prowers,12551,3064,1603
293,Colorado,Pueblo,159063,69282,27931
294,Colorado,Rio Blanco,6666,572,156
295,Colorado,Rio Grande,11982,2123,906
296,Colorado,Routt,23509,4938,1231
297,Colorado,Saguache,6108,1235,584
298,Colorado,San Juan,699,694,288
299,Colorado,San Miguel,7359,719,143
300,Colorado,Sedgwick,2379,442,117
301,Colorado,Summit,27994,2517,1035
302,Colorado,Teller,23350,4217,626
303,Colorado,Washington,4814,2485,786
304,Colorado,Weld,252825,56377,16054
305,Colorado,Yuma,10043,2301,682
306,Connecticut,Fairfield,916829,264287,29466
307,Connecticut,Hartford,894014,249154,34531
308,Connecticut,Litchfield,189927,42807,6546
309,Connecticut,Middlesex,165676,61957,10253
310,Connecticut,New Haven,862477,259754,40442
311,Connecticut,New London,274055,114415,22378
312,Connecticut,Tolland,152691,55928,11890
313,Connecticut,Windham,118428,16938,4367
314,Delaware,Kent,162310,35366,9804
315,Delaware,New Castle,538479,134558,27467
316,Delaware,Sussex,197145,58473,17688
317,District of Columbia,District of Columbia,601723,12749,4771
318,Florida,Alachua,247336,45543,18010
319,Florida,Baker,27115,14710,5049
320,Florida,Bay,168852,46951,14759
321,Florida,Bradford,28520,108,52
322,Florida,Brevard,543376,233392,70666
323,Florida,Broward,1748066,173939,46646
324,Florida,Calhoun,14625,7038,3919
325,Florida,Charlotte,159978,77143,24522
326,Florida,Citrus,141236,64418,22913
327,Florida,Clay,190865,77667,18628
328,Florida,Collier,321520,102657,34227
329,Florida,Columbia,67531,10414,3930
330,Florida,DeSoto,34862,3501,2228
331,Florida,Dixie,16422,1413,554
332,Florida,Duval,864263,244279,85212
333,Florida,Escambia,297619,120643,37748
334,Florida,Flagler,95696,50780,17705
335,Florida,Franklin,11549,23,7
336,Florida,Gadsden,46389,1607,911
337,Florida,Gilchrist,16939,75,46
338,Florida,Glades,12884,7260,3972
339,Florida,Gulf,15863,1264,490
340,Florida,Hamilton,14799,2964,1476
341,Florida,Hardee,27731,6877,4163
342,Florida,Hendry,39140,5668,2528
343,Florida,Hernando,172778,62059,23881
344,Florida,Highlands,98786,38318,16274
345,Florida,Hillsborough,1229226,376605,109472
346,Florida,Holmes,19927,7499,4206
347,Florida,Indian River,138028,59653,21158
348,Florida,Jackson,49746,5011,2889
349,Florida,Jefferson,14761,2400,1062
350,Florida,Lafayette,8870,564,280
351,Florida,Lake,297052,102410,36811
352,Florida,Lee,618754,236209,87888
353,Florida,Leon,275487,85994,24792
354,Florida,Levy,40801,4399,1993
355,Florida,Liberty,8365,2163,723
356,Florida,Madison,19224,4053,1838
357,Florida,Manatee,322833,85175,22766
358,Florida,Marion,331298,103157,40087
359,Florida,Martin,146318,52027,14516
360,Florida,Miami-Dade,2496435,170704,58803
361,Florida,Monroe,73090,19884,5889
362,Florida,Nassau,73314,31401,10066
363,Florida,Okaloosa,180822,75489,21791
364,Florida,Okeechobee,39996,24009,14763
365,Florida,Orange,1145956,248968,85713
366,Florida,Osceola,268685,111395,50020
367,Florida,Palm Beach,1320134,259701,66508
368,Florida,Pasco,464697,183335,55106
369,Florida,Pinellas,916542,150076,40230
370,Florida,Polk,602095,227730,88768
371,Florida,Putnam,74364,11588,6212
372,Florida,Santa Rosa,151372,64922,16720
373,Florida,Sarasota,379448,136244,37049
374,Florida,Seminole,422718,137067,33172
375,Florida,St. Johns,190039,55857,13240
376,Florida,St. Lucie,277789,124328,42711
377,Florida,Sumter,93420,31359,5587
378,Florida,Suwannee,41551,5069,2600
379,Florida,Taylor,22570,6639,2858
380,Florida,Union,15535,6359,2740
381,Florida,Volusia,494593,191622,73077
382,Florida,Wakulla,30776,388,80
383,Florida,Walton,55043,18849,7113
384,Florida,Washington,24896,10141,5447
385,Georgia,Appling,18236,8491,3670
386,Georgia,Atkinson,8375,1920,1027
387,Georgia,Bacon,11096,373,136
388,Georgia,Baker,3451,2617,1054
389,Georgia,Baldwin,45720,8603,4540
390,Georgia,Banks,18395,0,0
391,Georgia,Barrow,69367,28598,8396
392,Georgia,Bartow,100157,29286,12797
393,Georgia,Ben Hill,17634,5224,2419
394,Georgia,Berrien,19286,3220,1667
395,Georgia,Bibb,155547,49557,19337
396,Georgia,Bleckley,13063,2370,1064
397,Georgia,Brantley,18411,670,375
398,Georgia,Brooks,16243,1748,843
399,Georgia,Bryan,30233,12426,2305
400,Georgia,Bulloch,70217,14588,5318
401,Georgia,Burke,23316,3107,1714
402,Georgia,Butts,23655,3916,1761
403,Georgia,Calhoun,6694,921,381
404,Georgia,Camden,50513,25863,8792
405,Georgia,Candler,10998,77,33
406,Georgia,Carroll,110527,56550,24343
407,Georgia,Catoosa,63942,23719,7376
