State,County,2010_Population,Food_Desert_Population,Food_Desert_Low_Income
Indiana,Newton,14244,1898,526
Indiana,Noble,47536,4120,1809
Indiana,Ohio,6128,0,0
Indiana,Orange,19840,429,212
Indiana,Owen,21575,172,86
Indiana,Parke,17339,2972,1286
Indiana,Perry,19338,5460,1548
Indiana,Pike,12845,327,60
Indiana,Porter,164343,66336,14465
Indiana,Posey,25910,8196,2002
Indiana,Pulaski,13402,1271,465
Indiana,Putnam,37963,3757,1213
Indiana,Randolph,26171,4494,2264
Indiana,Ripley,28818,1249,207
Indiana,Rush,17392,567,182
Indiana,Scott,24181,539,189
Indiana,Shelby,44436,7044,2325
Indiana,Spencer,20952,2,0
Indiana,St. Joseph,266931,86171,26589
Indiana,Starke,23363,478,301
Indiana,Steuben,34185,10688,4164
Indiana,Sullivan,21475,1624,485
Indiana,Switzerland,10613,488,221
Indiana,Tippecanoe,172780,47128,14572
Indiana,Tipton,15936,3046,745
Indiana,Union,7516,0,0
Indiana,Vanderburgh,179703,50925,9973
Indiana,Vermillion,16212,941,391
Indiana,Vigo,107848,27386,11148
Indiana,Wabash,32888,4175,1891
Indiana,Warren,8508,402,144
Indiana,Warrick,59689,18158,3209
Indiana,Washington,28262,1896,787
Indiana,Wayne,68917,13502,5992
Indiana,Wells,27636,5228,1669
Indiana,White,24643,2520,556
Indiana,Whitley,33292,1450,296
Iowa,Adair,7682,490,99
Iowa,Adams,4029,259,52
Iowa,Allamakee,14330,1482,450
Iowa,Appanoose,12887,2029,816
Iowa,Audubon,6119,462,162
Iowa,Benton,26076,4001,954
Iowa,Black Hawk,131090,41447,16309
Iowa,Boone,26306,3011,1198
Iowa,Bremer,24276,2724,398
Iowa,Buchanan,20958,3827,895
Iowa,Buena Vista,20260,2464,997
Iowa,Butler,14867,6660,1970
Iowa,Calhoun,9670,265,76
Iowa,Carroll,20816,1628,338
Iowa,Cass,13956,4013,1314
Iowa,Cedar,18499,3911,989
Iowa,Cerro Gordo,44151,9440,2512
Iowa,Cherokee,12072,1637,390
Iowa,Chickasaw,12439,2150,722
Iowa,Clarke,9286,857,262
Iowa,Clay,16667,2765,755
Iowa,Clayton,18129,123,42
Iowa,Clinton,49116,13782,3707
Iowa,Crawford,17096,5567,2114
Iowa,Dallas,66135,10871,1669
Iowa,Davis,8753,956,537
Iowa,Decatur,8457,833,347
Iowa,Delaware,17764,1563,612
Iowa,Des Moines,40325,12164,3839
Iowa,Dickinson,16667,595,109
Iowa,Dubuque,93653,23632,5818
Iowa,Emmet,10302,3225,1067
Iowa,Fayette,20880,1809,569
Iowa,Floyd,16303,3872,1112
Iowa,Franklin,10680,2136,682
Iowa,Fremont,7441,5616,1655
Iowa,Greene,9336,1751,583
Iowa,Grundy,12453,1384,307
Iowa,Guthrie,10954,1235,423
Iowa,Hamilton,15673,2262,613
Iowa,Hancock,11341,1425,513
Iowa,Hardin,17534,3728,1025
Iowa,Harrison,14928,2947,864
Iowa,Henry,20145,7044,2364
Iowa,Howard,9566,3687,1229
Iowa,Humboldt,9815,1853,622
Iowa,Ida,7089,75,25
Iowa,Iowa,16355,2591,537
Iowa,Jackson,19848,4155,1269
Iowa,Jasper,36842,6715,1614
Iowa,Jefferson,16843,3319,1041
Iowa,Johnson,130882,16519,4100
Iowa,Jones,20638,3464,1030
Iowa,Keokuk,10511,2671,883
Iowa,Kossuth,15543,8407,2342
Iowa,Lee,35862,9305,3416
Iowa,Linn,211226,67561,12937
Iowa,Louisa,11387,130,37
Iowa,Lucas,8898,2450,920
Iowa,Lyon,11581,1299,372
Iowa,Madison,15679,2731,580
Iowa,Mahaska,22381,5755,1978
Iowa,Marion,33309,4401,828
Iowa,Marshall,40648,10853,2856
Iowa,Mills,15059,2163,606
Iowa,Mitchell,10776,2398,868
Iowa,Monona,9243,1511,453
Iowa,Monroe,7970,823,298
Iowa,Montgomery,10740,2267,904
Iowa,Muscatine,42745,4736,1108
Iowa,O'Brien,14398,4563,1475
Iowa,Osceola,6462,1916,472
Iowa,Page,15932,1965,599
Iowa,Palo Alto,9421,2253,826
Iowa,Plymouth,24986,1241,288
Iowa,Pocahontas,7310,1326,508
Iowa,Polk,430640,81940,19032
Iowa,Pottawattamie,93158,30879,10393
Iowa,Poweshiek,18914,4026,1061
Iowa,Ringgold,5131,560,175
Iowa,Sac,10350,3736,1197
Iowa,Scott,165224,22274,6088
Iowa,Shelby,12167,2671,823
Iowa,Sioux,33704,471,172
Iowa,Story,89542,21514,8804
Iowa,Tama,17767,3926,1498
Iowa,Taylor,6317,268,71
Iowa,Union,12534,2793,860
Iowa,Van Buren,7570,3945,1644
Iowa,Wapello,35625,17958,8663
Iowa,Warren,46225,12717,2079
Iowa,Washington,21704,1966,433
Iowa,Wayne,6403,2560,1067
Iowa,Webster,38013,12041,4024
Iowa,Winnebago,10866,2248,715
Iowa,Winneshiek,21056,4417,1069
Iowa,Woodbury,102172,27800,9808
Iowa,Worth,7598,619,195
Iowa,Wright,13229,1642,570
Kansas,Allen,13371,5947,2859
Kansas,Anderson,8102,1499,453
Kansas,Atchison,16924,4631,1438
Kansas,Barber,4861,545,130
Kansas,Barton,27674,9522,3406
Kansas,Bourbon,15173,4169,1468
Kansas,Brown,9984,1113,492
Kansas,Butler,65880,15077,4090
Kansas,Chase,2790,2615,971
Kansas,Chautauqua,3669,1344,588
Kansas,Cherokee,21603,9056,3632
Kansas,Cheyenne,2726,261,71
Kansas,Clark,2215,2215,739
Kansas,Clay,8535,2628,750
Kansas,Cloud,9533,3498,1291
Kansas,Coffey,8601,3683,1008
Kansas,Comanche,1891,337,61
Kansas,Cowley,36311,15651,6257
Kansas,Crawford,39134,12707,5528
Kansas,Decatur,2961,825,313
Kansas,Dickinson,19754,2446,899
Kansas,Doniphan,7945,4198,1277
Kansas,Douglas,110826,24438,6609
Kansas,Edwards,3037,486,166
Kansas,Elk,2882,2863,1213
Kansas,Ellis,28452,3744,1802
Kansas,Ellsworth,6497,1953,644
Kansas,Finney,36776,9014,4400
Kansas,Ford,33848,8079,3214
Kansas,Franklin,25992,13029,4917
Kansas,Geary,34362,15217,5771
Kansas,Gove,2695,1119,386
Kansas,Graham,2597,562,169
Kansas,Grant,7829,967,349
Kansas,Gray,6006,2728,824
Kansas,Greeley,1247,1247,432
Kansas,Greenwood,6689,3260,1285
Kansas,Hamilton,2690,2690,1112
Kansas,Harper,6034,1566,516
Kansas,Harvey,34684,4437,1460
Kansas,Haskell,4256,4256,1601
Kansas,Hodgeman,1916,612,167
Kansas,Jackson,13462,2363,778
Kansas,Jefferson,19126,164,33
Kansas,Jewell,3077,826,298
Kansas,Johnson,544179,118540,14580
Kansas,Kearny,3977,3977,1263
Kansas,Kingman,7858,3334,1068
Kansas,Kiowa,2553,2544,938
Kansas,Labette,21607,5213,1712
Kansas,Lane,1750,390,77
Kansas,Leavenworth,76227,29179,8767
Kansas,Lincoln,3241,1021,388
Kansas,Linn,9656,1351,420
Kansas,Logan,2756,503,232
Kansas,Lyon,33690,6474,2828
Kansas,Marion,12660,2892,1109
Kansas,Marshall,10117,1768,592
Kansas,McPherson,29180,8573,2287
Kansas,Meade,4575,2320,839
Kansas,Miami,32787,2876,549
Kansas,Mitchell,6373,2061,601
Kansas,Montgomery,35471,7388,3105
Kansas,Morris,5923,1952,422
Kansas,Morton,3233,845,240
Kansas,Nemaha,10178,2323,745
Kansas,Neosho,16512,1668,633
Kansas,Ness,3107,833,315
Kansas,Norton,5671,1267,368
Kansas,Osage,16295,2451,959
Kansas,Osborne,3858,892,362
Kansas,Ottawa,6091,1736,437
Kansas,Pawnee,6973,2434,855
Kansas,Phillips,5642,2213,700
Kansas,Pottawatomie,21604,575,100
Kansas,Pratt,9656,3183,781
Kansas,Rawlins,2519,715,232
Kansas,Reno,64511,16412,4456
Kansas,Republic,4980,1275,438
Kansas,Rice,10083,2036,718
Kansas,Riley,71115,37020,17755
Kansas,Rooks,5181,750,244
Kansas,Rush,3307,699,210
Kansas,Russell,6970,2208,863
Kansas,Saline,55606,11220,3637
Kansas,Scott,4936,1206,377
Kansas,Sedgwick,498365,139666,53551
Kansas,Seward,22952,1698,620
Kansas,Shawnee,177934,29941,12879
Kansas,Sheridan,2556,820,249
Kansas,Sherman,6010,4704,1886
Kansas,Smith,3853,1440,472
Kansas,Stafford,4437,1354,426
Kansas,Stanton,2235,236,93
Kansas,Stevens,5724,1050,341
Kansas,Sumner,24132,7478,2526
Kansas,Thomas,7900,5300,1261
Kansas,Trego,3001,215,75
Kansas,Wabaunsee,7053,2947,1022
Kansas,Wallace,1485,1485,459
Kansas,Washington,5799,2909,970
Kansas,Wichita,2234,2234,831
Kansas,Wilson,9409,1795,795
Kansas,Woodson,3309,614,288
Kansas,Wyandotte,157505,41097,21460
Kentucky,Adair,18656,1194,780
Kentucky,Allen,19956,2117,556
Kentucky,Anderson,21421,1670,274
Kentucky,Ballard,8249,416,138
Kentucky,Barren,42173,4263,2373
Kentucky,Bath,11591,14,7
Kentucky,Bell,28691,4267,2864
Kentucky,Boone,118811,56331,8979
Kentucky,Bourbon,19985,3765,1796
Kentucky,Boyd,49542,12832,5524
Kentucky,Boyle,28432,4752,1650
Kentucky,Bracken,8488,48,19
Kentucky,Breathitt,13878,3484,2140
Kentucky,Breckinridge,20059,1810,807
Kentucky,Bullitt,74319,34966,8569
Kentucky,Butler,12690,1031,544
Kentucky,Caldwell,12984,144,46
Kentucky,Calloway,37191,5179,1427
Kentucky,Campbell,90336,33371,8537
Kentucky,Carlisle,5104,115,35
Kentucky,Carroll,10811,0,0
Kentucky,Carter,27720,2183,882
Kentucky,Casey,15955,704,408
Kentucky,Christian,73955,22246,10405
Kentucky,Clark,35613,4019,823
Kentucky,Clay,21730,3612,1837
Kentucky,Clinton,10272,11,5
Kentucky,Crittenden,9315,1351,614
Kentucky,Cumberland,6856,111,67
Kentucky,Daviess,96656,17512,4695
Kentucky,Edmonson,12161,307,144
Kentucky,Elliott,7852,5,2
Kentucky,Estill,14672,40,25
Kentucky,Fayette,295803,63716,22969
Kentucky,Fleming,14348,838,408
Kentucky,Floyd,39451,2510,1249
Kentucky,Franklin,49285,7486,2312
Kentucky,Fulton,6813,6,3
Kentucky,Gallatin,8589,0,0
Kentucky,Garrard,16912,1,0
Kentucky,Grant,24662,1683,783
Kentucky,Graves,37121,5438,2014
Kentucky,Grayson,25746,4353,2276
Kentucky,Green,11258,1255,658
Kentucky,Greenup,36910,7790,2836
Kentucky,Hancock,8565,1815,765
Kentucky,Hardin,105543,31212,10957
Kentucky,Harlan,29278,1903,1153
Kentucky,Harrison,18846,1963,675
Kentucky,Hart,18199,1404,571
Kentucky,Henderson,46250,1185,443
Kentucky,Henry,15416,321,82
Kentucky,Hickman,4902,0,0
Kentucky,Hopkins,46920,11940,5381
Kentucky,Jackson,13494,24,13
Kentucky,Jefferson,741096,139009,34653
Kentucky,Jessamine,48586,12165,3185
Kentucky,Johnson,23356,803,310
Kentucky,Kenton,159720,54394,11345
Kentucky,Knott,16346,139,66
Kentucky,Knox,31883,9678,5774
Kentucky,Larue,14193,2701,1057
Kentucky,Laurel,58849,13025,7102
Kentucky,Lawrence,15860,878,551
Kentucky,Lee,7887,2,1
Kentucky,Leslie,11310,351,192
Kentucky,Letcher,24519,0,0
Kentucky,Lewis,13870,161,119
Kentucky,Lincoln,24742,3796,2568
Kentucky,Livingston,9519,1425,617
Kentucky,Logan,26835,2826,1270
Kentucky,Lyon,8314,260,86
Kentucky,Madison,82916,19741,9411
Kentucky,Magoffin,13333,232,120
Kentucky,Marion,19820,1112,488
Kentucky,Marshall,31448,1913,622
Kentucky,Martin,12929,5,3
Kentucky,Mason,17490,2956,1442
Kentucky,McCracken,65565,21021,7642
Kentucky,McCreary,18306,360,273
Kentucky,McLean,9531,50,20
Kentucky,Meade,28602,4711,2657
Kentucky,Menifee,6306,94,47
Kentucky,Mercer,21331,2422,950
Kentucky,Metcalfe,10099,79,54
Kentucky,Monroe,10963,381,154
Kentucky,Montgomery,26499,3857,1451
Kentucky,Morgan,13923,1269,716
Kentucky,Muhlenberg,31499,4066,1882
Kentucky,Nelson,43437,1626,651
Kentucky,Nicholas,7135,37,13
Kentucky,Ohio,23842,1864,888
Kentucky,Oldham,60316,22645,3962
Kentucky,Owen,10841,1101,461
Kentucky,Owsley,4755,33,24
Kentucky,Pendleton,14877,116,36
Kentucky,Perry,28712,108,82
Kentucky,Pike,65024,76,32
Kentucky,Powell,12613,2,2
Kentucky,Pulaski,63063,13339,5052
Kentucky,Robertson,2282,1613,803
Kentucky,Rockcastle,17056,45,32
Kentucky,Rowan,23333,278,102
Kentucky,Russell,17565,179,73
Kentucky,Scott,47173,15568,4524
Kentucky,Shelby,42074,630,343
Kentucky,Simpson,17327,2986,1310
Kentucky,Spencer,17061,0,0
Kentucky,Taylor,24512,1999,758
Kentucky,Todd,12460,59,27
Kentucky,Trigg,14339,1179,495
Kentucky,Trimble,8809,248,122
Kentucky,Union,15007,3936,2642
Kentucky,Warren,113792,17231,5899
Kentucky,Washington,11717,2021,940
Kentucky,Wayne,20813,2897,1852
Kentucky,Webster,13621,393,111
Kentucky,Whitley,35637,2511,1400
Kentucky,Wolfe,7355,125,64
Kentucky,Woodford,24939,11104,3543
Louisiana,Acadia,61773,4748,2445
Louisiana,Allen,25764,8042,3360
Louisiana,Ascension,107215,48059,12337
Louisiana,Assumption,23421,4706,1197
Louisiana,Avoyelles,42073,6885,3502
Louisiana,Beauregard,35654,20089,7888
Louisiana,Bienville,14353,5123,2214
Louisiana,Bossier,116979,24138,8622
Louisiana,Caddo,254969,90955,38721
Louisiana,Calcasieu,192768,69918,27444
Louisiana,Caldwell,10132,961,328
Louisiana,Cameron,6839,1747,410
Louisiana,Catahoula,10407,2488,1103
Louisiana,Claiborne,17195,2472,1485
Louisiana,Concordia,20822,4576,2695
Louisiana,De Soto,26656,6573,2543
Louisiana,East Baton Rouge,440171,124696,49089
Louisiana,East Carroll,7759,2611,1460
Louisiana,East Feliciana,20267,266,119
Louisiana,Evangeline,33984,7371,4206
Louisiana,Franklin,20767,2039,1198
Louisiana,Grant,22309,4348,1621
Louisiana,Iberia,73240,13874,4679
Louisiana,Iberville,33387,1968,829
Louisiana,Jackson,16274,3869,1977
Louisiana,Jefferson,432552,54888,22350
Louisiana,Jefferson Davis,31594,4966,2170
Louisiana,La Salle,14890,4207,2023
Louisiana,Lafayette,221578,64530,19089
Louisiana,Lafourche,96318,26436,9458
Louisiana,Lincoln,46735,17705,9812
Louisiana,Livingston,128026,34481,10198
Louisiana,Madison,12093,688,406
Louisiana,Morehouse,27979,6280,4012
Louisiana,Natchitoches,39566,12991,6636
Louisiana,Orleans,343829,61609,31860
Louisiana,Ouachita,153720,48316,20211
Louisiana,Plaquemines,23042,12652,4501
Louisiana,Pointe Coupee,22802,7859,3665
Louisiana,Rapides,131613,44538,19869
Louisiana,Red River,9091,1280,455
Louisiana,Richland,20725,3488,1995
Louisiana,Sabine,24233,7247,3502
Louisiana,St. Bernard,35897,17710,7394
Louisiana,St. Charles,52780,26796,8073
Louisiana,St. Helena,11203,663,389
Louisiana,St. James,22102,8404,2846
Louisiana,St. John the Baptist,45924,17229,5605
Louisiana,St. Landry,83384,16508,9007
Louisiana,St. Martin,52160,8020,2892
Louisiana,St. Mary,54650,17520,7852
Louisiana,St. Tammany,233740,73897,17340
Louisiana,Tangipahoa,121097,49784,21404
Louisiana,Tensas,5252,1284,887
Louisiana,Terrebonne,111860,32289,12878
Louisiana,Union,22721,4334,2300
Louisiana,Vermilion,57999,3735,1668
Louisiana,Vernon,52334,25563,10530
Louisiana,Washington,47168,6176,2670
Louisiana,Webster,41207,13097,7137
Louisiana,West Baton Rouge,23788,4877,2138
Louisiana,West Carroll,11604,565,356
Louisiana,West Feliciana,15625,6576,3057
Louisiana,Winn,15313,2522,1035
Maine,Androscoggin,107702,9957,2800
Maine,Aroostook,71870,8397,3476
Maine,Cumberland,281674,64050,13074
Maine,Franklin,30768,4102,1877
Maine,Hancock,54418,2218,965
Maine,Kennebec,122151,6656,1929
Maine,Knox,39736,5690,1712
Maine,Lincoln,34457,1378,476
Maine,Oxford,57833,7755,3055
Maine,Penobscot,153923,20824,8210
Maine,Piscataquis,17535,777,345
Maine,Sagadahoc,35293,3923,1293
Maine,Somerset,52228,6370,2819
Maine,Waldo,38786,5555,2458
Maine,Washington,32856,3751,1791
Maine,York,197131,33505,7617
Maryland,Allegany,75087,22387,8477
Maryland,Anne Arundel,537656,204078,28310
Maryland,Baltimore,805029,143564,23635
Maryland,Baltimore City,620961,13719,5507
Maryland,Calvert,88737,34916,4858
Maryland,Caroline,33066,3039,1400
Maryland,Carroll,167134,50025,6501
Maryland,Cecil,101108,28479,8146
Maryland,Charles,146551,54059,7664
Maryland,Dorchester,32618,4571,1906
Maryland,Frederick,233385,56466,6464
Maryland,Garrett,30097,4538,1471
Maryland,Harford,244826,66999,11517
Maryland,Howard,287085,61084,5743
Maryland,Kent,20197,340,183
Maryland,Montgomery,971777,199405,20164
Maryland,Prince George's,863420,212757,36451
Maryland,Queen Anne's,47798,11215,1372
Maryland,Somerset,26470,4838,2385
Maryland,St. Mary's,105151,23439,4545
Maryland,Talbot,37782,4558,991
Maryland,Washington,147430,51637,12889
Maryland,Wicomico,98733,28637,8912
Maryland,Worcester,51454,15296,3713
Massachusetts,Barnstable,215888,107229,21226
Massachusetts,Berkshire,131219,40912,9791
Massachusetts,Bristol,548285,146370,22331
Massachusetts,Dukes,16535,5402,1227
Massachusetts,Essex,743159,230621,33548
Massachusetts,Franklin,71372,13587,5025
Massachusetts,Hampden,463490,115569,24963
Massachusetts,Hampshire,158080,74019,18428
Massachusetts,Middlesex,1503085,382025,47189
Massachusetts,Nantucket,10172,1386,142
Massachusetts,Norfolk,670850,237070,25660
Massachusetts,Plymouth,494919,206347,27252
Massachusetts,Suffolk,722023,6320,1737
Massachusetts,Worcester,798552,270911,44534
Michigan,Alcona,10942,1164,452
Michigan,Alger,9601,3341,1347
Michigan,Allegan,111408,20065,5003
Michigan,Alpena,29598,2829,1022
Michigan,Antrim,23580,33,14
Michigan,Arenac,15899,4582,1946
Michigan,Baraga,8860,1452,481
Michigan,Barry,59173,19,4
Michigan,Bay,107771,14605,5849
Michigan,Benzie,17525,0,0
Michigan,Berrien,156813,37515,14099
Michigan,Branch,45248,4135,1912
Michigan,Calhoun,136146,35295,12856
Michigan,Cass,52293,6966,2025
Michigan,Charlevoix,25949,562,193
Michigan,Cheboygan,26152,3648,2047
Michigan,Chippewa,38520,5737,2457
Michigan,Clare,30926,588,330
Michigan,Clinton,75382,25578,8519
Michigan,Crawford,14074,1411,492
Michigan,Delta,37069,6916,2640
Michigan,Dickinson,26168,6162,2321
Michigan,Eaton,107759,33315,10483
Michigan,Emmet,32694,8066,2604
Michigan,Genesee,425790,154931,49686
Michigan,Gladwin,25692,1835,871
Michigan,Gogebic,16427,2195,645
Michigan,Grand Traverse,86986,15950,5882
Michigan,Gratiot,42476,15152,8402
Michigan,Hillsdale,46688,779,456
Michigan,Houghton,36628,3816,1756
Michigan,Huron,33118,8925,3600
Michigan,Ingham,280895,88383,33364
Michigan,Ionia,63905,12185,2566
Michigan,Iosco,25887,4110,1706
Michigan,Iron,11817,1667,724
Michigan,Isabella,70311,7101,3566
Michigan,Jackson,160248,48661,18466
Michigan,Kalamazoo,250331,80895,26711
Michigan,Kalkaska,17153,875,372
Michigan,Kent,602622,144724,35214
Michigan,Keweenaw,2156,626,177
Michigan,Lake,11539,1850,956
Michigan,Lapeer,88319,6589,1719
Michigan,Leelanau,21708,0,0
Michigan,Lenawee,99892,26120,8922
Michigan,Livingston,180967,54115,8477
Michigan,Luce,6631,1890,753
Michigan,Mackinac,11113,3329,1474
Michigan,Macomb,840978,200937,45029
Michigan,Manistee,24733,2491,710
Michigan,Marquette,67077,10783,3144
Michigan,Mason,28705,4131,1228
Michigan,Mecosta,42798,7836,4685
Michigan,Menominee,24029,9343,3213
Michigan,Midland,83629,15123,4566
Michigan,Missaukee,14849,664,368
Michigan,Monroe,152021,20714,5149
Michigan,Montcalm,63342,1942,746
Michigan,Montmorency,9765,377,105
Michigan,Muskegon,172188,71080,31363
Michigan,Newaygo,48460,2042,787
Michigan,Oakland,1202362,368481,60961
Michigan,Oceana,26570,2495,1252
Michigan,Ogemaw,21699,11,5
Michigan,Ontonagon,6780,2211,818
Michigan,Osceola,23528,3582,1358
Michigan,Oscoda,8640,138,63
Michigan,Otsego,24164,9585,2381
Michigan,Ottawa,263801,84778,25155
Michigan,Presque Isle,13376,3985,1207
Michigan,Roscommon,24449,3207,1815
Michigan,Saginaw,200169,53295,20743
Michigan,Sanilac,43114,5018,1947
Michigan,Schoolcraft,8485,2242,932
Michigan,Shiawassee,70648,19299,8236
Michigan,St. Clair,163040,58212,21652
Michigan,St. Joseph,61295,8511,3719
Michigan,Tuscola,55729,3909,1528
Michigan,Van Buren,76258,1558,727
Michigan,Washtenaw,344791,84707,22836
Michigan,Wayne,1820584,270655,80257
Michigan,Wexford,32735,8091,3003
Minnesota,Aitkin,16202,5242,1908
Minnesota,Anoka,330844,123793,22335
Minnesota,Becker,32504,10941,4273
Minnesota,Beltrami,44442,10224,3810
Minnesota,Benton,38451,11110,2970
Minnesota,Big Stone,5269,2275,664
Minnesota,Blue Earth,64013,24877,10802
Minnesota,Brown,25893,6578,1566
Minnesota,Carlton,35386,8115,2218
Minnesota,Carver,91042,33484,3644
Minnesota,Cass,28567,3393,1454
Minnesota,Chippewa,12441,1247,387
Minnesota,Chisago,53887,17828,3160
Minnesota,Clay,58999,8079,2139
Minnesota,Clearwater,8695,3297,1330
Minnesota,Cook,5176,1487,508
Minnesota,Cottonwood,11687,3787,1552
Minnesota,Crow Wing,62500,7442,2223
Minnesota,Dakota,398552,147429,22341
Minnesota,Dodge,20087,2785,553
Minnesota,Douglas,36009,8900,2604
Minnesota,Faribault,14553,2049,804
Minnesota,Fillmore,20866,456,107
Minnesota,Freeborn,31255,6635,2337
Minnesota,Goodhue,46183,6949,1739
Minnesota,Grant,6018,2654,887
Minnesota,Hennepin,1152425,322439,56891
Minnesota,Houston,19027,2609,794
Minnesota,Hubbard,20428,4489,1459
Minnesota,Isanti,37816,9173,2298
Minnesota,Itasca,45058,11041,4050
Minnesota,Jackson,10266,1570,424
Minnesota,Kanabec,16239,1892,784
Minnesota,Kandiyohi,42239,15755,4510
Minnesota,Kittson,4552,3309,896
Minnesota,Koochiching,13311,6630,2520
Minnesota,Lac qui Parle,7259,821,260
Minnesota,Lake,10866,1104,370
Minnesota,Lake of the Woods,4045,1666,486
Minnesota,Le Sueur,27703,1390,427
Minnesota,Lincoln,5896,720,208
Minnesota,Lyon,25857,8139,2458
Minnesota,Mahnomen,5413,1905,975
Minnesota,Marshall,9439,5982,1493
Minnesota,Martin,20840,10115,3022
Minnesota,McLeod,36651,13978,3213
Minnesota,Meeker,23300,5315,1602
Minnesota,Mille Lacs,26097,1391,551
Minnesota,Morrison,33198,9422,3499
Minnesota,Mower,39163,7400,2146
Minnesota,Murray,8725,1263,352
Minnesota,Nicollet,32727,13029,3391
Minnesota,Nobles,21378,6688,2055
Minnesota,Norman,6852,2172,712
Minnesota,Olmsted,144248,30750,4481
Minnesota,Otter Tail,57303,13552,4192
Minnesota,Pennington,13930,2532,733
Minnesota,Pine,29750,3486,1308
Minnesota,Pipestone,9596,2872,893
Minnesota,Polk,31600,12741,4033
Minnesota,Pope,10995,1414,366
Minnesota,Ramsey,508640,113123,27456
Minnesota,Red Lake,4089,4056,1250
Minnesota,Redwood,16059,7558,2299
Minnesota,Renville,15730,5201,1555
Minnesota,Rice,64142,11788,3359
Minnesota,Rock,9687,1511,338
Minnesota,Roseau,15629,5782,1336
Minnesota,Scott,129928,37958,4798
Minnesota,Sherburne,88499,13622,4641
Minnesota,Sibley,15226,242,55
Minnesota,St. Louis,200226,55146,18789
Minnesota,Stearns,150642,36744,10882
Minnesota,Steele,36576,9917,1862
Minnesota,Stevens,9726,1212,330
Minnesota,Swift,9783,2525,749
Minnesota,Todd,24895,8326,3081
Minnesota,Traverse,3558,1386,464
Minnesota,Wabasha,21676,2234,552
Minnesota,Wadena,13843,1012,395
Minnesota,Waseca,19136,7001,2242
Minnesota,Washington,238136,120804,18739
Minnesota,Watonwan,11211,552,141
Minnesota,Wilkin,6576,1933,418
Minnesota,Winona,51461,6242,1828
Minnesota,Wright,124700,29224,3735
Minnesota,Yellow Medicine,10438,3380,827
Mississippi,Adams,32297,7016,4074
Mississippi,Alcorn,37057,6527,2791
Mississippi,Amite,13131,2343,1173
Mississippi,Attala,19564,4423,2562
Mississippi,Benton,8729,3215,1881
Mississippi,Bolivar,34145,17468,9544
Mississippi,Calhoun,14962,570,259
Mississippi,Carroll,10597,4337,2081
Mississippi,Chickasaw,17392,1632,877
Mississippi,Choctaw,8547,270,106
Mississippi,Claiborne,9604,928,694
Mississippi,Clarke,16732,2332,942
Mississippi,Clay,20634,5745,3242
Mississippi,Coahoma,26151,5747,3935
Mississippi,Copiah,29449,7597,3702
Mississippi,Covington,19568,0,0
Mississippi,DeSoto,161252,80412,22483
Mississippi,Forrest,74934,15823,6773
Mississippi,Franklin,8118,2486,1047
Mississippi,George,22578,2489,865
Mississippi,Greene,14400,637,257
Mississippi,Grenada,21906,3265,1575
Mississippi,Hancock,43929,18493,7824
Mississippi,Harrison,187105,68869,29692
Mississippi,Hinds,245285,72513,33051
Mississippi,Holmes,19198,6383,4755
Mississippi,Humphreys,9375,1744,958
Mississippi,Issaquena,1406,597,382
Mississippi,Itawamba,23401,3495,1291
Mississippi,Jackson,139668,51787,17969
Mississippi,Jasper,17062,1999,1047
Mississippi,Jefferson,7726,799,448
Mississippi,Jefferson Davis,12487,2067,1179
Mississippi,Jones,67761,7337,4318
Mississippi,Kemper,10456,5150,3176
Mississippi,Lafayette,47351,17745,8341
Mississippi,Lamar,55658,20522,5837
Mississippi,Lauderdale,80261,16573,8946
Mississippi,Lawrence,12929,1980,913
Mississippi,Leake,23805,5919,3273
Mississippi,Lee,82910,16949,6052
Mississippi,Leflore,32317,9309,6542
Mississippi,Lincoln,34869,6649,3895
Mississippi,Lowndes,59779,12486,4538
Mississippi,Madison,95203,24141,5203
Mississippi,Marion,27088,5690,3014
Mississippi,Marshall,37144,7959,3383
Mississippi,Monroe,36989,3182,1602
Mississippi,Montgomery,10925,2734,1258
Mississippi,Neshoba,29676,2383,1112
Mississippi,Newton,21720,3478,1821
Mississippi,Noxubee,11545,1853,1266
Mississippi,Oktibbeha,47671,19444,10911
Mississippi,Panola,34707,6533,3697
Mississippi,Pearl River,55834,5945,3114
Mississippi,Perry,12250,1123,488
Mississippi,Pike,40404,5647,3434
Mississippi,Pontotoc,29957,4586,1946
Mississippi,Prentiss,25276,2404,1415
Mississippi,Quitman,8223,1786,1268
Mississippi,Rankin,141617,41551,14341
Mississippi,Scott,28264,9332,4834
Mississippi,Sharkey,4916,1370,779
Mississippi,Simpson,27503,3473,2045
Mississippi,Smith,16491,2696,1124
Mississippi,Stone,17786,4460,1863
Mississippi,Sunflower,29450,11573,7907
Mississippi,Tallahatchie,15378,7889,4668
Mississippi,Tate,28886,7647,4135
Mississippi,Tippah,22232,1792,962
Mississippi,Tishomingo,19593,0,0
Mississippi,Tunica,10778,3015,1881
Mississippi,Union,27134,2847,1452
Mississippi,Walthall,15443,1641,913
Mississippi,Warren,48773,8686,4351
Mississippi,Washington,51137,14078,9011
Mississippi,Wayne,20747,796,505
Mississippi,Webster,10253,1179,533
Mississippi,Wilkinson,9878,1585,812
Mississippi,Winston,19198,3425,2003
Mississippi,Yalobusha,12678,2669,1331
Mississippi,Yazoo,28065,9489,5786
